county_fips_full,county_name,year,median_household_income,income_change,state_fips_home,county_fips_home,median_home_value,source_home,county_name_home,state_fips_rent,county_fips_rent,median_gross_rent,source_rent,county_name_rent,base_value,median_household_income_indexed,median_monthly_income,RAI,HAI,HAI_change,HAI_2023,HAI_2000,median_household_income_change,median_household_income_2023,median_household_income_2000,median_home_value_change,median_home_value_2023,median_home_value_2000,median_gross_rent_price_change,median_gross_rent_2023,median_gross_rent_2000,median_household_income_fmt,median_gross_rent_fmt,median_home_value_fmt,median_household_income_2000_fmt,median_home_value_2000_fmt,median_gross_rent_2000_fmt,HAI_2000_fmt,median_household_income_2023_fmt,median_home_value_2023_fmt,median_gross_rent_2023_fmt,HAI_2023_fmt,metric_value_fmt
31039,"Cuming County, Nebraska",2000.0,33186.0,-3.91,31,039,72500.0,2000/dec/sf3,"Cuming County, Nebraska",31,039,398.0,2000/dec/sf3,"Cuming County, Nebraska",33186.0,1.0,2765.5,6.95,2.18,22.02,2.66,2.18,98.32,65814.0,33186.0,141.24,174900.0,72500.0,101.01,800.0,398.0,"$33,186",$398,"$72,500","$33,186","$72,500",$398,2.18,"$65,814","$174,900",$800,2.66,22.02
31039,Cuming County,2023.0,65814.0,0.01,31,039,174900.0,2023/acs/acs5,"Cuming County, Nebraska",31,039,800.0,2023/acs/acs5,"Cuming County, Nebraska",33186.0,1.98,5484.5,6.86,2.66,22.02,2.66,2.18,98.32,65814.0,33186.0,141.24,174900.0,72500.0,101.01,800.0,398.0,"$65,814",$800,"$174,900","$33,186","$72,500",$398,2.18,"$65,814","$174,900",$800,2.66,22.02
53069,"Wahkiakum County, Washington",2000.0,39444.0,3.54,53,069,133700.0,2000/dec/sf3,"Wahkiakum County, Washington",53,069,519.0,2000/dec/sf3,"Wahkiakum County, Washington",39444.0,1.0,3287.0,6.33,3.39,45.72,4.94,3.39,76.77,69726.0,39444.0,157.67,344500.0,133700.0,109.25,1086.0,519.0,"$39,444",$519,"$133,700","$39,444","$133,700",$519,3.39,"$69,726","$344,500","$1,086",4.94,45.72
53069,Wahkiakum County,2023.0,69726.0,-0.53,53,069,344500.0,2023/acs/acs5,"Wahkiakum County, Washington",53,069,1086.0,2023/acs/acs5,"Wahkiakum County, Washington",39444.0,1.77,5810.5,5.35,4.94,45.72,4.94,3.39,76.77,69726.0,39444.0,157.67,344500.0,133700.0,109.25,1086.0,519.0,"$69,726","$1,086","$344,500","$39,444","$133,700",$519,3.39,"$69,726","$344,500","$1,086",4.94,45.72
35011,"De Baca County, New Mexico",2000.0,25441.0,5.04,35,011,51300.0,2000/dec/sf3,"De Baca County, New Mexico",35,011,371.0,2000/dec/sf3,"De Baca County, New Mexico",25441.0,1.0,2120.08,5.71,2.02,62.38,3.28,2.02,89.59,48234.0,25441.0,207.99,158000.0,51300.0,95.96,727.0,371.0,"$25,441",$371,"$51,300","$25,441","$51,300",$371,2.02,"$48,234","$158,000",$727,3.28,62.38
35011,DeBaca County,2023.0,48234.0,6.69,35,011,158000.0,2023/acs/acs5,"De Baca County, New Mexico",35,011,727.0,2023/acs/acs5,"De Baca County, New Mexico",25441.0,1.9,4019.5,5.53,3.28,62.38,3.28,2.02,89.59,48234.0,25441.0,207.99,158000.0,51300.0,95.96,727.0,371.0,"$48,234",$727,"$158,000","$25,441","$51,300",$371,2.02,"$48,234","$158,000",$727,3.28,62.38
31109,"Lancaster County, Nebraska",2000.0,41850.0,2.79,31,109,105100.0,2000/dec/sf3,"Lancaster County, Nebraska",31,109,519.0,2000/dec/sf3,"Lancaster County, Nebraska",41850.0,1.0,3487.5,6.72,2.51,45.02,3.64,2.51,70.06,71171.0,41850.0,146.34,258900.0,105100.0,101.35,1045.0,519.0,"$41,850",$519,"$105,100","$41,850","$105,100",$519,2.51,"$71,171","$258,900","$1,045",3.64,45.02
31109,Lancaster County,2023.0,71171.0,4.12,31,109,258900.0,2023/acs/acs5,"Lancaster County, Nebraska",31,109,1045.0,2023/acs/acs5,"Lancaster County, Nebraska",41850.0,1.7,5930.92,5.68,3.64,45.02,3.64,2.51,70.06,71171.0,41850.0,146.34,258900.0,105100.0,101.35,1045.0,519.0,"$71,171","$1,045","$258,900","$41,850","$105,100",$519,2.51,"$71,171","$258,900","$1,045",3.64,45.02
31129,"Nuckolls County, Nebraska",2000.0,28958.0,-3.06,31,129,35900.0,2000/dec/sf3,"Nuckolls County, Nebraska",31,129,315.0,2000/dec/sf3,"Nuckolls County, Nebraska",28958.0,1.0,2413.17,7.66,1.24,24.19,1.54,1.24,103.57,58951.0,28958.0,153.2,90900.0,35900.0,95.56,616.0,315.0,"$28,958",$315,"$35,900","$28,958","$35,900",$315,1.24,"$58,951","$90,900",$616,1.54,24.19
31129,Nuckolls County,2023.0,58951.0,2.92,31,129,90900.0,2023/acs/acs5,"Nuckolls County, Nebraska",31,129,616.0,2023/acs/acs5,"Nuckolls County, Nebraska",28958.0,2.04,4912.58,7.97,1.54,24.19,1.54,1.24,103.57,58951.0,28958.0,153.2,90900.0,35900.0,95.56,616.0,315.0,"$58,951",$616,"$90,900","$28,958","$35,900",$315,1.24,"$58,951","$90,900",$616,1.54,24.19
