county_fips_full,year,median_gross_rent,state_fips,county_fips,source
01000,1980,122.0,01,000,nhgis_1980
01000,1990,257.0,01,000,nhgis_1990
01001,1980,49.0,01,001,nhgis_1980
01001,1990,102.0,01,001,nhgis_1990
01001,2000,537.0,01,001,2000/dec/sf3
01001,2009,779.0,01,001,2009/acs/acs5
01001,2010,769.0,01,001,2010/acs/acs5
01001,2011,832.0,01,001,2011/acs/acs5
01001,2012,836.0,01,001,2012/acs/acs5
01001,2013,851.0,01,001,2013/acs/acs5
01001,2014,876.0,01,001,2014/acs/acs5
01001,2015,883.0,01,001,2015/acs/acs5
01001,2016,896.0,01,001,2016/acs/acs5
01001,2017,932.0,01,001,2017/acs/acs5
01001,2018,966.0,01,001,2018/acs/acs5
01001,2019,986.0,01,001,2019/acs/acs5
01001,2020,1011.0,01,001,2020/acs/acs5
01001,2021,1085.0,01,001,2021/acs/acs5
01001,2022,1199.0,01,001,2022/acs/acs5
01001,2023,1200.0,01,001,2023/acs/acs5
01002,1980,74.0,01,002,nhgis_1980
01002,1990,157.0,01,002,nhgis_1990
01003,1980,102.0,01,003,nhgis_1980
01003,1990,234.0,01,003,nhgis_1990
01003,2000,566.0,01,003,2000/dec/sf3
01003,2005,662.0,01,003,2005/acs/acs1
01003,2006,771.0,01,003,2006/acs/acs1
01003,2007,782.0,01,003,2007/acs/acs1
01003,2008,790.0,01,003,2008/acs/acs1
01003,2009,788.0,01,003,2009/acs/acs5
01003,2010,821.0,01,003,2010/acs/acs5
01003,2011,863.0,01,003,2011/acs/acs5
01003,2012,874.0,01,003,2012/acs/acs5
01003,2013,876.0,01,003,2013/acs/acs5
01003,2014,882.0,01,003,2014/acs/acs5
01003,2015,879.0,01,003,2015/acs/acs5
01003,2016,889.0,01,003,2016/acs/acs5
01003,2017,904.0,01,003,2017/acs/acs5
01003,2018,958.0,01,003,2018/acs/acs5
01003,2019,1020.0,01,003,2019/acs/acs5
01003,2020,1032.0,01,003,2020/acs/acs5
01003,2021,1093.0,01,003,2021/acs/acs5
01003,2022,1160.0,01,003,2022/acs/acs5
01003,2023,1211.0,01,003,2023/acs/acs5
01004,1980,49.0,01,004,nhgis_1980
01004,1990,118.0,01,004,nhgis_1990
01005,1980,84.0,01,005,nhgis_1980
01005,1990,197.0,01,005,nhgis_1990
01005,2000,333.0,01,005,2000/dec/sf3
01005,2009,499.0,01,005,2009/acs/acs5
01005,2010,512.0,01,005,2010/acs/acs5
01005,2011,547.0,01,005,2011/acs/acs5
01005,2012,577.0,01,005,2012/acs/acs5
01005,2013,587.0,01,005,2013/acs/acs5
01005,2014,608.0,01,005,2014/acs/acs5
01005,2015,579.0,01,005,2015/acs/acs5
01005,2016,588.0,01,005,2016/acs/acs5
01005,2017,569.0,01,005,2017/acs/acs5
01005,2018,590.0,01,005,2018/acs/acs5
01005,2019,576.0,01,005,2019/acs/acs5
01005,2020,587.0,01,005,2020/acs/acs5
01005,2021,605.0,01,005,2021/acs/acs5
01005,2022,627.0,01,005,2022/acs/acs5
01005,2023,644.0,01,005,2023/acs/acs5
01006,1980,68.0,01,006,nhgis_1980
01006,1990,130.0,01,006,nhgis_1990
01007,1980,109.0,01,007,nhgis_1980
01007,1990,169.0,01,007,nhgis_1990
01007,2000,348.0,01,007,2000/dec/sf3
01007,2009,506.0,01,007,2009/acs/acs5
01007,2010,541.0,01,007,2010/acs/acs5
01007,2011,558.0,01,007,2011/acs/acs5
01007,2012,581.0,01,007,2012/acs/acs5
01007,2013,568.0,01,007,2013/acs/acs5
01007,2014,610.0,01,007,2014/acs/acs5
01007,2015,651.0,01,007,2015/acs/acs5
01007,2016,654.0,01,007,2016/acs/acs5
01007,2017,710.0,01,007,2017/acs/acs5
01007,2018,714.0,01,007,2018/acs/acs5
01007,2019,734.0,01,007,2019/acs/acs5
01007,2020,693.0,01,007,2020/acs/acs5
01007,2021,744.0,01,007,2021/acs/acs5
01007,2022,765.0,01,007,2022/acs/acs5
01007,2023,802.0,01,007,2023/acs/acs5
01008,1980,136.0,01,008,nhgis_1980
01008,1990,266.0,01,008,nhgis_1990
01009,1980,58.0,01,009,nhgis_1980
01009,1990,117.0,01,009,nhgis_1990
01009,2000,385.0,01,009,2000/dec/sf3
01009,2009,541.0,01,009,2009/acs/acs5
01009,2010,574.0,01,009,2010/acs/acs5
01009,2011,561.0,01,009,2011/acs/acs5
01009,2012,588.0,01,009,2012/acs/acs5
01009,2013,600.0,01,009,2013/acs/acs5
01009,2014,609.0,01,009,2014/acs/acs5
01009,2015,601.0,01,009,2015/acs/acs5
01009,2016,631.0,01,009,2016/acs/acs5
01009,2017,649.0,01,009,2017/acs/acs5
01009,2018,662.0,01,009,2018/acs/acs5
01009,2019,667.0,01,009,2019/acs/acs5
01009,2020,666.0,01,009,2020/acs/acs5
01009,2021,691.0,01,009,2021/acs/acs5
01009,2022,734.0,01,009,2022/acs/acs5
01009,2023,743.0,01,009,2023/acs/acs5
01010,1980,137.0,01,010,nhgis_1980
01010,1990,292.0,01,010,nhgis_1990
01011,1980,68.0,01,011,nhgis_1980
01011,1990,133.0,01,011,nhgis_1990
01011,2000,324.0,01,011,2000/dec/sf3
01011,2009,363.0,01,011,2009/acs/acs5
01011,2010,400.0,01,011,2010/acs/acs5
01011,2011,402.0,01,011,2011/acs/acs5
01011,2012,495.0,01,011,2012/acs/acs5
01011,2013,492.0,01,011,2013/acs/acs5
01011,2014,570.0,01,011,2014/acs/acs5
01011,2015,570.0,01,011,2015/acs/acs5
01011,2016,564.0,01,011,2016/acs/acs5
01011,2017,611.0,01,011,2017/acs/acs5
01011,2018,668.0,01,011,2018/acs/acs5
01011,2019,654.0,01,011,2019/acs/acs5
01011,2020,559.0,01,011,2020/acs/acs5
01011,2021,473.0,01,011,2021/acs/acs5
01011,2022,619.0,01,011,2022/acs/acs5
01011,2023,635.0,01,011,2023/acs/acs5
01012,1980,88.0,01,012,nhgis_1980
01012,1990,163.0,01,012,nhgis_1990
01013,1980,49.0,01,013,nhgis_1980
01013,1990,99.0,01,013,nhgis_1990
01013,2000,328.0,01,013,2000/dec/sf3
01013,2009,453.0,01,013,2009/acs/acs5
01013,2010,480.0,01,013,2010/acs/acs5
01013,2011,522.0,01,013,2011/acs/acs5
01013,2012,538.0,01,013,2012/acs/acs5
01013,2013,560.0,01,013,2013/acs/acs5
01013,2014,581.0,01,013,2014/acs/acs5
01013,2015,575.0,01,013,2015/acs/acs5
01013,2016,563.0,01,013,2016/acs/acs5
01013,2017,585.0,01,013,2017/acs/acs5
01013,2018,606.0,01,013,2018/acs/acs5
01013,2019,620.0,01,013,2019/acs/acs5
01013,2020,627.0,01,013,2020/acs/acs5
01013,2021,666.0,01,013,2021/acs/acs5
01013,2022,720.0,01,013,2022/acs/acs5
01013,2023,722.0,01,013,2023/acs/acs5
01015,2000,413.0,01,015,2000/dec/sf3
01015,2005,531.0,01,015,2005/acs/acs1
01015,2006,527.0,01,015,2006/acs/acs1
01015,2007,553.0,01,015,2007/acs/acs1
01015,2008,533.0,01,015,2008/acs/acs1
01015,2009,571.0,01,015,2009/acs/acs5
01015,2010,569.0,01,015,2010/acs/acs5
01015,2011,593.0,01,015,2011/acs/acs5
01015,2012,611.0,01,015,2012/acs/acs5
01015,2013,615.0,01,015,2013/acs/acs5
01015,2014,634.0,01,015,2014/acs/acs5
01015,2015,637.0,01,015,2015/acs/acs5
01015,2016,635.0,01,015,2016/acs/acs5
01015,2017,645.0,01,015,2017/acs/acs5
01015,2018,680.0,01,015,2018/acs/acs5
01015,2019,716.0,01,015,2019/acs/acs5
01015,2020,720.0,01,015,2020/acs/acs5
01015,2021,752.0,01,015,2021/acs/acs5
01015,2022,806.0,01,015,2022/acs/acs5
01015,2023,804.0,01,015,2023/acs/acs5
01017,2000,374.0,01,017,2000/dec/sf3
01017,2009,552.0,01,017,2009/acs/acs5
01017,2010,572.0,01,017,2010/acs/acs5
01017,2011,605.0,01,017,2011/acs/acs5
01017,2012,617.0,01,017,2012/acs/acs5
01017,2013,635.0,01,017,2013/acs/acs5
01017,2014,664.0,01,017,2014/acs/acs5
01017,2015,658.0,01,017,2015/acs/acs5
01017,2016,658.0,01,017,2016/acs/acs5
01017,2017,684.0,01,017,2017/acs/acs5
01017,2018,715.0,01,017,2018/acs/acs5
01017,2019,749.0,01,017,2019/acs/acs5
01017,2020,734.0,01,017,2020/acs/acs5
01017,2021,790.0,01,017,2021/acs/acs5
01017,2022,842.0,01,017,2022/acs/acs5
01017,2023,850.0,01,017,2023/acs/acs5
01019,2000,362.0,01,019,2000/dec/sf3
01019,2009,450.0,01,019,2009/acs/acs5
01019,2010,479.0,01,019,2010/acs/acs5
01019,2011,524.0,01,019,2011/acs/acs5
01019,2012,602.0,01,019,2012/acs/acs5
01019,2013,609.0,01,019,2013/acs/acs5
01019,2014,619.0,01,019,2014/acs/acs5
01019,2015,621.0,01,019,2015/acs/acs5
01019,2016,601.0,01,019,2016/acs/acs5
01019,2017,596.0,01,019,2017/acs/acs5
01019,2018,606.0,01,019,2018/acs/acs5
01019,2019,620.0,01,019,2019/acs/acs5
01019,2020,626.0,01,019,2020/acs/acs5
01019,2021,682.0,01,019,2021/acs/acs5
01019,2022,700.0,01,019,2022/acs/acs5
01019,2023,750.0,01,019,2023/acs/acs5
01021,2000,385.0,01,021,2000/dec/sf3
01021,2009,570.0,01,021,2009/acs/acs5
01021,2010,570.0,01,021,2010/acs/acs5
01021,2011,607.0,01,021,2011/acs/acs5
01021,2012,616.0,01,021,2012/acs/acs5
01021,2013,626.0,01,021,2013/acs/acs5
01021,2014,629.0,01,021,2014/acs/acs5
01021,2015,661.0,01,021,2015/acs/acs5
01021,2016,646.0,01,021,2016/acs/acs5
01021,2017,678.0,01,021,2017/acs/acs5
01021,2018,684.0,01,021,2018/acs/acs5
01021,2019,726.0,01,021,2019/acs/acs5
01021,2020,683.0,01,021,2020/acs/acs5
01021,2021,746.0,01,021,2021/acs/acs5
01021,2022,814.0,01,021,2022/acs/acs5
01021,2023,855.0,01,021,2023/acs/acs5
01023,2000,284.0,01,023,2000/dec/sf3
01023,2009,510.0,01,023,2009/acs/acs5
01023,2010,546.0,01,023,2010/acs/acs5
01023,2011,613.0,01,023,2011/acs/acs5
01023,2012,611.0,01,023,2012/acs/acs5
01023,2013,593.0,01,023,2013/acs/acs5
01023,2014,573.0,01,023,2014/acs/acs5
01023,2015,497.0,01,023,2015/acs/acs5
01023,2016,497.0,01,023,2016/acs/acs5
01023,2017,521.0,01,023,2017/acs/acs5
01023,2018,533.0,01,023,2018/acs/acs5
01023,2019,525.0,01,023,2019/acs/acs5
01023,2020,560.0,01,023,2020/acs/acs5
01023,2021,601.0,01,023,2021/acs/acs5
01023,2022,616.0,01,023,2022/acs/acs5
01023,2023,653.0,01,023,2023/acs/acs5
01025,2000,343.0,01,025,2000/dec/sf3
01025,2009,454.0,01,025,2009/acs/acs5
01025,2010,444.0,01,025,2010/acs/acs5
01025,2011,488.0,01,025,2011/acs/acs5
01025,2012,505.0,01,025,2012/acs/acs5
01025,2013,479.0,01,025,2013/acs/acs5
01025,2014,557.0,01,025,2014/acs/acs5
01025,2015,545.0,01,025,2015/acs/acs5
01025,2016,540.0,01,025,2016/acs/acs5
01025,2017,546.0,01,025,2017/acs/acs5
01025,2018,561.0,01,025,2018/acs/acs5
01025,2019,555.0,01,025,2019/acs/acs5
01025,2020,599.0,01,025,2020/acs/acs5
01025,2021,702.0,01,025,2021/acs/acs5
01025,2022,723.0,01,025,2022/acs/acs5
01025,2023,785.0,01,025,2023/acs/acs5
01027,2000,272.0,01,027,2000/dec/sf3
01027,2009,432.0,01,027,2009/acs/acs5
01027,2010,398.0,01,027,2010/acs/acs5
01027,2011,424.0,01,027,2011/acs/acs5
01027,2012,424.0,01,027,2012/acs/acs5
01027,2013,424.0,01,027,2013/acs/acs5
01027,2014,451.0,01,027,2014/acs/acs5
01027,2015,451.0,01,027,2015/acs/acs5
01027,2016,441.0,01,027,2016/acs/acs5
01027,2017,482.0,01,027,2017/acs/acs5
01027,2018,564.0,01,027,2018/acs/acs5
01027,2019,535.0,01,027,2019/acs/acs5
01027,2020,482.0,01,027,2020/acs/acs5
01027,2021,521.0,01,027,2021/acs/acs5
01027,2022,576.0,01,027,2022/acs/acs5
01027,2023,624.0,01,027,2023/acs/acs5
01029,2000,378.0,01,029,2000/dec/sf3
01029,2009,517.0,01,029,2009/acs/acs5
01029,2010,557.0,01,029,2010/acs/acs5
01029,2011,549.0,01,029,2011/acs/acs5
01029,2012,566.0,01,029,2012/acs/acs5
01029,2013,574.0,01,029,2013/acs/acs5
01029,2014,604.0,01,029,2014/acs/acs5
01029,2015,557.0,01,029,2015/acs/acs5
01029,2016,582.0,01,029,2016/acs/acs5
01029,2017,549.0,01,029,2017/acs/acs5
01029,2018,575.0,01,029,2018/acs/acs5
01029,2019,585.0,01,029,2019/acs/acs5
01029,2020,659.0,01,029,2020/acs/acs5
01029,2021,724.0,01,029,2021/acs/acs5
01029,2022,782.0,01,029,2022/acs/acs5
01029,2023,792.0,01,029,2023/acs/acs5
01031,2000,415.0,01,031,2000/dec/sf3
01031,2009,563.0,01,031,2009/acs/acs5
01031,2010,586.0,01,031,2010/acs/acs5
01031,2011,606.0,01,031,2011/acs/acs5
01031,2012,638.0,01,031,2012/acs/acs5
01031,2013,647.0,01,031,2013/acs/acs5
01031,2014,676.0,01,031,2014/acs/acs5
01031,2015,683.0,01,031,2015/acs/acs5
01031,2016,701.0,01,031,2016/acs/acs5
01031,2017,731.0,01,031,2017/acs/acs5
01031,2018,782.0,01,031,2018/acs/acs5
01031,2019,803.0,01,031,2019/acs/acs5
01031,2020,802.0,01,031,2020/acs/acs5
01031,2021,856.0,01,031,2021/acs/acs5
01031,2022,921.0,01,031,2022/acs/acs5
01031,2023,970.0,01,031,2023/acs/acs5
01033,2000,414.0,01,033,2000/dec/sf3
01033,2009,541.0,01,033,2009/acs/acs5
01033,2010,572.0,01,033,2010/acs/acs5
01033,2011,592.0,01,033,2011/acs/acs5
01033,2012,601.0,01,033,2012/acs/acs5
