GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C8J001,C8O001
"G0100010","1980","A","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,,"05",,,,,,,,"AUTAUGA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",37200,122
"G0100030","1980","A","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,,"08",,,,,,,,"BALDWIN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",41100,139
"G0100050","1980","A","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,,"09",,,,,,,,"BARBOUR COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",23800,66
"G0100070","1980","A","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,,"05",,,,,,,,"BIBB COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0",22500,67
"G0100090","1980","A","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,,"02",,,,,,,,"BLOUNT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",30200,87
"G0100110","1980","A","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,,"06",,,,,,,,"BULLOCK COUNTY","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0",19700,49
"G0100130","1980","A","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,,"09",,,,,,,,"BUTLER COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0",20500,55
"G0100150","1980","A","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,,"03",,,,,,,,"CALHOUN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",31500,118
"G0100170","1980","A","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,,"04",,,,,,,,"CHAMBERS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",24300,80
"G0100190","1980","A","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,,"03",,,,,,,,"CHEROKEE COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",27500,70
